,Richmond,El_Cerrito_Norte,El_Cerrito_Plaza,North_Berkeley,Berkeley,Ashby,MacArthur,19_TH,12_TH,Lake_Merritt,Fruitvale,Coliseum,San_Leandro,Bayfair,Hayward,South_Hayward,Union_City,Fremont,Concord,Pleasant_Hill,Walnut_Creek,Lafayette,Orinda,Rockridge,West_Oakland,Embarcadero,Montgomery_Stree,Powell_Street,Civic_Center,16_th,24_TH,Glen_Park,Balboa_Park,Daly_City,Colma,Castro_Valley,Dublin,North_Concord,Pittsburg,South_SF,San_Bruno,SFO,Millbrae,West_Dublin,Oakland_Air,Warm_Springs,Pittsburgh_Center,Antioch
San_Bruno,21.05263158,37.31578947,11.10526316,11.78947368,41.78947368,13.47368421,29.84210526,75.42105263,87.42105263,18.84210526,28.21052632,28.42105263,12.57894737,15.47368421,12.26315789,4.736842105,2.578947368,10.26315789,23.94736842,34.31578947,22.42105263,8.578947368,9.210526316,13.42105263,30.15789474,669.5789474,744.3684211,488.2631579,376.4210526,145.4736842,128,67.78947368,133.5263158,149.4736842,42.42105263,7,14.57894737,12.15789474,31.63157895,30.42105263,15.94736842,64.42105263,49.63157895,4.368421053,4.684210526,2.157894737,7.052631579,23.68421053
Warm_Springs,13.78947368,34.21052632,15.26315789,22.26315789,134.3684211,28.73684211,49.26315789,141.6842105,144.3157895,97.21052632,68.84210526,172.8421053,65.94736842,55.36842105,100,49.36842105,44.84210526,33.15789474,10.78947368,13.78947368,7.789473684,3.631578947,5.105263158,9.368421053,17.84210526,714.8947368,757,305.5263158,260.3157895,66.78947368,26.21052632,15.21052632,19.89473684,48.47368421,1.736842105,9.947368421,25.15789474,4.052631579,15.52631579,4.315789474,1.421052632,18.68421053,2.631578947,11.15789474,14.68421053,30.26315789,3.631578947,10.42105263
Lafayette,7.263157895,10.26315789,7.263157895,7.631578947,71.10526316,9.263157895,55.21052632,176.4210526,148.8421053,9.263157895,13.78947368,35.31578947,7.421052632,5.105263158,6.631578947,4.157894737,5.315789474,6.894736842,104.7894737,63.42105263,62.31578947,15.36842105,17.94736842,76.26315789,4.421052632,921.1578947,855.7894737,269.3684211,274.8947368,58,36.36842105,22.42105263,13.68421053,31.94736842,4.578947368,0.947368421,1.736842105,9.578947368,24.36842105,6.631578947,9,98.63157895,12.15789474,1.052631579,25.10526316,3.105263158,13.10526316,16.36842105
South_SF,13.36842105,30,7.789473684,7.157894737,35.05263158,9.263157895,30.57894737,68.47368421,91,15.78947368,18,21.84210526,13.36842105,12,11.26315789,4.684210526,4.368421053,5.947368421,24.73684211,28.26315789,23.57894737,6,8.210526316,13.89473684,19.57894737,657.5789474,775.2631579,475.2631579,409.1578947,125.2105263,102.7894737,38.57894737,83.84210526,89.15789474,16.36842105,4.421052632,20.21052632,8.631578947,21.42105263,16.57894737,28.57894737,65.31578947,68.15789474,9.105263158,3.315789474,4.947368421,4.631578947,22.47368421
Orinda,9.315789474,13.36842105,6.736842105,10.94736842,49.36842105,7.473684211,53.89473684,119.5263158,132.1052632,9.789473684,24.26315789,32.15789474,10.89473684,2.157894737,6.578947368,4.210526316,3.684210526,10.21052632,45.52631579,38.73684211,46.36842105,20.89473684,11.73684211,73.89473684,4.736842105,839.7894737,772.8421053,252,239.8421053,64.42105263,34.05263158,30.89473684,19.89473684,24.26315789,3.368421053,2.894736842,3.526315789,8.210526316,10.57894737,8.157894737,9.473684211,79.89473684,11.68421053,0.631578947,16.10526316,4.578947368,8.789473684,11
South_Hayward,21.68421053,23.57894737,8.947368421,10.26315789,83.21052632,17.89473684,58.05263158,148.3157895,170.5263158,86,91.36842105,104.2105263,71.78947368,65.52631579,90.31578947,14.31578947,82.47368421,143.8421053,8.052631579,8.842105263,10.05263158,2.842105263,3.789473684,7.315789474,18.68421053,438.8947368,408.8421053,258.3157895,256.4210526,79.36842105,46,17.94736842,30.10526316,70.42105263,7.578947368,12.84210526,40.73684211,2.789473684,8.684210526,3.947368421,6.210526316,15.31578947,4.368421053,20.94736842,6.736842105,63.10526316,3.947368421,3.052631579
Antioch,13.21052632,10.52631579,5,6.947368421,53.84210526,11.68421053,126.6315789,125.6315789,183.0526316,25.78947368,24.31578947,51.84210526,16.42105263,8.157894737,26.94736842,5.578947368,7.894736842,16.05263158,113.9473684,53.42105263,89.52631579,15.57894737,9.947368421,35.63157895,17.10526316,384.9473684,348.4736842,300.2631579,269.2105263,103.0526316,64.36842105,45.52631579,49,91,18.31578947,1.631578947,3.894736842,27.52631579,32.31578947,22.31578947,25.52631579,89.05263158,19.31578947,1.684210526,25.36842105,13.57894737,28.10526316,25.05263158
Castro_Valley,5.684210526,7.894736842,4.157894737,6.842105263,63.05263158,10.47368421,21.89473684,76.05263158,123.9473684,120.9473684,50.73684211,90.94736842,40.89473684,51.36842105,18.84210526,12.73684211,17.47368421,33.26315789,6.473684211,4.368421053,3.947368421,1.157894737,3.263157895,4.210526316,15.21052632,572,589,306.8947368,267.5263158,81.42105263,34.52631579,23.52631579,28.36842105,50.63157895,4.473684211,8.157894737,108.7368421,1.631578947,1.842105263,3.789473684,7.368421053,24.26315789,5.842105263,61.31578947,8.842105263,13.89473684,0.947368421,1.473684211
North_Concord,3.947368421,7.052631579,4.736842105,6.210526316,32.57894737,8.578947368,50.57894737,125.1052632,132.5789474,7.684210526,8.473684211,20.47368421,9.578947368,6.631578947,10.42105263,2.315789474,2.578947368,6.842105263,45.10526316,31.78947368,61.89473684,9.842105263,4.684210526,23.78947368,4.842105263,369.0526316,385.1578947,231.3684211,226.1578947,68,38.73684211,17.94736842,20.21052632,49.94736842,4.315789474,1.157894737,1.894736842,11.63157895,26,8.315789474,11.05263158,57.36842105,7.578947368,0.947368421,12.78947368,3.789473684,18.15789474,22.84210526
Oakland_Air,12.94736842,38.21052632,31.84210526,34.94736842,58.52631579,26.94736842,28.42105263,42.89473684,54.21052632,21.10526316,11.68421053,46.89473684,10,5.157894737,11.47368421,6.842105263,20.84210526,25.05263158,37.21052632,52.78947368,40.31578947,20.05263158,15.57894737,15.31578947,8.368421053,176.2105263,135.6842105,104,76.26315789,25.47368421,22.26315789,15.78947368,9.473684211,15.57894737,2.315789474,7,76.63157895,14.10526316,25.89473684,2.473684211,5.842105263,22.84210526,5.894736842,35,9.052631579,12.73684211,2.947368421,20.52631579
Pittsburgh_Center,4.736842105,4.421052632,2.631578947,2.052631579,14.52631579,3,33.26315789,37.21052632,36.42105263,8.157894737,10.10526316,17.26315789,5.315789474,4.421052632,8.894736842,2.368421053,3.842105263,4.210526316,65.57894737,28.94736842,35.26315789,11.05263158,5.368421053,13.57894737,4.263157895,69.94736842,71.15789474,74.73684211,56.47368421,21.47368421,19.15789474,11.10526316,12.89473684,20.05263158,2.947368421,0.789473684,1.315789474,12.42105263,14.78947368,1.736842105,4.526315789,15.94736842,3.578947368,1,3.157894737,2.947368421,5.263157895,21.57894737
