geoid,geoid20,year,denom_workingage_civ_noninst_pop,laborforce_count,laborforce_pct,denom_labor_force,unemployed_count,unemployed_pct
1400000US06037111303,111303,2021,4044,2331,57.640949,2331,263,11.282711
1400000US06037111304,111304,2021,2534,1865,73.599052,1865,35,1.8766756
1400000US06037111401,111401,2021,1942,1255,64.6241,1255,35,2.7888446
1400000US06037111402,111402,2021,5195,3122,60.096245,3122,261,8.3600254
1400000US06037113101,113101,2021,3104,1802,58.054123,1802,120,6.6592674
1400000US06037113102,113102,2021,2365,1340,56.659618,1340,55,4.1044774
1400000US06037113211,113211,2021,3599,2140,59.46096,2140,117,5.4672899
1400000US06037113212,113212,2021,2768,1905,68.822258,1905,210,11.023623
1400000US06037113213,113213,2021,4280,3011,70.350464,3011,55,1.8266357
1400000US06037113231,113231,2021,1850,1335,72.162163,1335,83,6.2172284
1400000US06037113232,113232,2021,4376,2873,65.653564,2873,175,6.0911937
1400000US06037113234,113234,2021,3951,2715,68.716782,2715,304,11.197053
1400000US06037113235,113235,2021,1456,988,67.85714,988,74,7.4898787
1400000US06037113237,113237,2021,4235,2593,61.227863,2593,99,3.8179715
1400000US06037113238,113238,2021,3519,2483,70.559814,2483,75,3.0205398
1400000US06037113239,113239,2021,2093,1500,71.667465,1500,377,25.133333
1400000US06037113301,113301,2021,3607,2059,57.08345,2059,146,7.0908208
1400000US06037113303,113303,2021,3305,2072,62.69289,2072,126,6.0810809
1400000US06037113322,113322,2021,3661,2166,59.164162,2166,99,4.5706372
1400000US06037113323,113323,2021,3274,2619,79.993889,2619,298,11.378388
1400000US06037113324,113324,2021,1954,1362,69.703171,1362,33,2.4229076
1400000US06037113423,113423,2021,2425,1744,71.917526,1744,155,8.8876143
1400000US06037113424,113424,2021,2719,1745,64.178009,1745,33,1.8911175
1400000US06037113425,113425,2021,3454,2713,78.546616,2713,263,9.694066
1400000US06037113426,113426,2021,2058,1169,56.802723,1169,69,5.9024806
1400000US06037113427,113427,2021,1668,1376,82.494003,1376,29,2.1075583
1400000US06037113428,113428,2021,3325,2600,78.195488,2600,297,11.423077
1400000US06037115101,115101,2021,4236,2637,62.252125,2637,167,6.3329539
1400000US06037115103,115103,2021,3037,1126,37.076061,1126,190,16.87389
1400000US06037115104,115104,2021,4123,2753,66.771767,2753,241,8.7540865
1400000US06037115202,115202,2021,5438,4095,75.303421,4095,343,8.3760681
1400000US06037115203,115203,2021,1898,1400,73.761856,1400,15,1.0714285
1400000US06037115204,115204,2021,3391,2262,66.705986,2262,156,6.8965516
1400000US06037115301,115301,2021,3832,2340,61.064716,2340,44,1.8803419
1400000US06037115302,115302,2021,2927,2009,68.636833,2009,123,6.1224489
1400000US06037115401,115401,2021,4951,3034,61.280548,3034,180,5.9327621
1400000US06037115403,115403,2021,2469,1767,71.567436,1767,149,8.4323711
1400000US06037115404,115404,2021,2248,1566,69.661919,1566,148,9.4508305
1400000US06037117101,117101,2021,4168,2702,64.827255,2702,125,4.6262026
1400000US06037117102,117102,2021,2199,1453,66.075485,1453,73,5.0240879
1400000US06037117201,117201,2021,3567,2208,61.900757,2208,215,9.737319
1400000US06037117202,117202,2021,2418,1408,58.229942,1408,261,18.536932
1400000US06037117301,117301,2021,3043,2097,68.912254,2097,168,8.011445
1400000US06037117302,117302,2021,3826,2518,65.812859,2518,156,6.1953931
1400000US06037117303,117303,2021,3637,2059,56.612595,2059,81,3.9339485
1400000US06037117404,117404,2021,4409,3103,70.378769,3103,221,7.1221399
1400000US06037117405,117405,2021,2454,1716,69.926651,1716,67,3.904429
1400000US06037117407,117407,2021,2532,1750,69.115326,1750,191,10.914286
1400000US06037117408,117408,2021,1874,1243,66.328705,1243,69,5.5510859
1400000US06037117510,117510,2021,2948,2093,70.997284,2093,84,4.0133781
1400000US06037117520,117520,2021,3053,2029,66.459221,2029,172,8.4770823
1400000US06037117530,117530,2021,4766,3406,71.464539,3406,368,10.804462
1400000US06037119001,119001,2021,3714,2739,73.747978,2739,120,4.3811612
1400000US06037119003,119003,2021,3208,2036,63.466335,2036,119,5.8447938
1400000US06037119004,119004,2021,2546,1699,66.732132,1699,149,8.769865
1400000US06037119201,119201,2021,3501,2305,65.838333,2305,291,12.624729
1400000US06037119202,119202,2021,4009,2509,62.584187,2509,131,5.2212038
1400000US06037119310,119310,2021,3225,2284,70.821709,2284,131,5.7355518
1400000US06037119320,119320,2021,3659,2799,76.496307,2799,268,9.5748482
1400000US06037119340,119340,2021,2682,1963,73.19165,1963,165,8.4055014
1400000US06037119341,119341,2021,2286,1509,66.010498,1509,68,4.5062957
1400000US06037119342,119342,2021,2299,1696,73.771202,1696,124,7.3113208
1400000US06037119400,119400,2021,4282,2691,62.844463,2691,180,6.6889634
1400000US06037119700,119700,2021,3881,2651,68.307137,2651,103,3.8853264
1400000US06037119801,119801,2021,2024,1308,64.624504,1308,24,1.8348624
1400000US06037119802,119802,2021,2714,1513,55.747974,1513,79,5.2214146
1400000US06037119900,119900,2021,4019,2417,60.139339,2417,119,4.9234591
